logFC	AveExpr	t	P.Value	adj.P.Val	B	target_id	DEG_status
-1.7439165395822505	7.626850387560792	-6.528830114891683	1.2854979473791666e-6	1.4629910125906937e-4	5.472535043920573	MGG_12377T0	downreg_in_guy11
1.4748808138690137	9.286000522515074	6.522053497425436	1.305731902127299e-6	1.472509476899013e-4	5.466771591388557	MGG_00505T0	upreg_in_guy11
-1.74768374943136	5.379485900941339	-6.507904969117262	1.3490342408300762e-6	1.4904612392306556e-4	5.447437295640556	MGG_01224T0	downreg_in_guy11
-1.377386982269564	8.68915308733392	-6.515325766698344	1.3261423126968615e-6	1.48205363864906e-4	5.444716390184761	MGG_03162T0	downreg_in_guy11
-0.9458844920098892	6.074144815624156	-6.505130834705465	1.3576954456514637e-6	1.4904612392306556e-4	5.430601343898537	MGG_04182T0	Not_DEG
-1.192871314174571	8.823186467737317	-6.482172852518766	1.431592762950612e-6	1.557798967052837e-4	5.374449677684488	MGG_06396T0	downreg_in_guy11
-1.6126363663700176	3.478651459094528	-6.46997194463204	1.4725267512617961e-6	1.5884082042958765e-4	5.3539731456121045	MGG_07053T0	downreg_in_guy11
-1.0868864240385498	9.830493189104685	-6.464595611318506	1.4909424442818932e-6	1.5944087087342142e-4	5.340675286187487	MGG_16341T0	downreg_in_guy11
-1.7290831616769449	6.596439306777437	-6.445764168274377	1.5573245292214399e-6	1.6511633149565778e-4	5.307677477428056	MGG_01982T0	downreg_in_guy11
-2.1146714106130333	3.7181487161986073	-6.419861697869495	1.6536037144087093e-6	1.7016434139284563e-4	5.255690305897187	MGG_12613T0	downreg_in_guy11
-1.719115553154321	7.003486175305683	-6.432755636289787	1.604938926782499e-6	1.687226049723466e-4	5.255347231977742	MGG_09505T0	downreg_in_guy11
3.268089209130097	6.7331194432171735	6.406389968746887	1.7060627133884965e-6	1.7016434139284563e-4	5.235703371376763	MGG_00947T0	upreg_in_guy11
-1.6787203600336706	5.3482567264192165	-6.407609533617641	1.7012444587778994e-6	1.7016434139284563e-4	5.229780683605856	MGG_08140T0	downreg_in_guy11
-1.4797495054641203	6.673066769084038	-6.406561892773296	1.7053826324235333e-6	1.7016434139284563e-4	5.199680415011571	MGG_11039T0	downreg_in_guy11
-1.4889329294515745	5.508529859605189	-6.407655599302242	1.7010627354642523e-6	1.7016434139284563e-4	5.1995424730854625	MGG_00317T0	downreg_in_guy11
1.5130099118498421	5.418576044154895	6.404218844014545	1.714674943499049e-6	1.7016434139284563e-4	5.1986986483214945	MGG_03604T0	upreg_in_guy11
-1.6842060809953	5.890342956396506	-6.377102963178617	1.8260567446547518e-6	1.7977963426541425e-4	5.15305820032917	MGG_02727T0	downreg_in_guy11
-1.6888108690551311	5.1422059490072725	-6.368251819357606	1.8639934563428064e-6	1.8206959705458671e-4	5.145729952112544	MGG_07718T0	downreg_in_guy11
-2.1061057764549354	5.256817377521043	-6.272705766363014	2.3286265554165677e-6	2.2392722806156997e-4	4.942530907790155	MGG_04686T0	downreg_in_guy11
-1.1078011991110799	6.388572142673125	-6.287555059123625	2.249300384209807e-6	2.1798883801658325e-4	4.921825877639925	MGG_03048T0	downreg_in_guy11
-2.2245199231025277	6.688576464563487	-6.26584233521314	2.3662516846626036e-6	2.2518250114996277e-4	4.92005793143367	MGG_13624T0	downreg_in_guy11
-1.5400868409964987	5.588622747941332	-6.263724719572161	2.3779853003341494e-6	2.2518250114996277e-4	4.898902930592852	MGG_00731T0	downreg_in_guy11
1.572797325247103	4.429462312253922	6.209915939493099	2.696943379493986e-6	2.5147319208271925e-4	4.802968860622309	MGG_04091T0	upreg_in_guy11
-2.17640470585619	6.7724743801170515	-6.224349878514994	2.6073211986686453e-6	2.450289353748829e-4	4.7934434169556095	MGG_06285T0	downreg_in_guy11
1.5181876394720009	5.8414153679626954	6.185333919629473	2.856881908028303e-6	2.625157042154896e-4	4.692287331586444	MGG_14549T0	upreg_in_guy11
3.6816025706649524	1.9262906802340611	6.206841232057713	2.7164375444646816e-6	2.5147319208271925e-4	4.672822845114599	MGG_09402T0	upreg_in_guy11
1.6701146714385455	3.4002065392366623	6.168343572854355	2.97305716849811e-6	2.711821630530813e-4	4.666453105796923	MGG_02513T0	upreg_in_guy11
1.4962477268002923	5.314059927398738	6.120209466615156	3.3290719334543076e-6	2.9710170744245095e-4	4.5990374790128286	MGG_06728T0	upreg_in_guy11
-1.455951726651925	5.9120035553623795	-6.127992535851473	3.2686843580961047e-6	2.938263004505955e-4	4.5878104899941174	MGG_10426T0	downreg_in_guy11
1.433563731980069	6.380458173516462	6.139381177678669	3.1823295511350142e-6	2.881518108162763e-4	4.581777659756876	MGG_00857T0	upreg_in_guy11
-1.1891297479471854	5.113747520132193	-6.1098090437438595	3.4115485574391715e-6	3.0228757039309234e-4	4.567542647728628	MGG_07059T0	downreg_in_guy11
-2.9586023234331984	6.056089104832799	-6.0846983599450315	3.619381368384554e-6	3.1397500611755517e-4	4.5066572108804595	MGG_06159T0	downreg_in_guy11
1.0754624583054992	6.167344650456873	6.09481385978266	3.534147679373518e-6	3.1092980115339356e-4	4.47657523053396	MGG_03661T0	upreg_in_guy11
-1.2585646759016695	5.619572259275684	-6.085227475154151	3.614871470263021e-6	3.1397500611755517e-4	4.473425061770541	MGG_00138T0	downreg_in_guy11
-1.4451118914561842	4.828116463914772	-6.057510805774939	3.8590088980266685e-6	3.278835984932933e-4	4.462388128408611	MGG_01201T0	downreg_in_guy11
-1.4027683876314265	6.738055143282709	-6.067985101742898	3.7648297730104145e-6	3.2432439815412633e-4	4.423490371787442	MGG_12131T0	downreg_in_guy11
1.6488095624032466	5.265287665488915	6.047075391753121	3.9552289785771205e-6	3.3247489897967063e-4	4.405732576204899	MGG_05812T0	upreg_in_guy11
-1.8157898960494974	4.7164602222477106	-6.022332981479457	4.19326568937928e-6	3.4448904495363675e-4	4.371613892245534	MGG_06202T0	downreg_in_guy11
-1.3011586480670934	6.533619597525261	-6.045854036354947	3.966649338894902e-6	3.3247489897967063e-4	4.367785014980322	MGG_01561T0	downreg_in_guy11
