Id,downreg_in_guy11_4h,downreg_in_guy11_24h,upreg_in_guy11_0h,upreg_in_guy11_4h,downreg_in_guy11_0h,upreg_in_guy11_24h
MGG_00180,Not_DEG,Not_DEG,Not_DEG,Dmst12,Not_DEG,Not_DEG
MGG_00181,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG
MGG_00183,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00187,Not_DEG,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00190,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12"
MGG_00194,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00198,Not_DEG,Not_DEG,Dbip1,Not_DEG,Not_DEG,Not_DEG
MGG_00199,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12"
MGG_00201,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dmst12
MGG_00203,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1,Not_DEG
MGG_00204,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1,"Dbip1, Dmst12"
MGG_00205,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1,Not_DEG
MGG_00211,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1
MGG_00223,"Dbip1, Dmst12",Not_DEG,Dbip1,Not_DEG,Not_DEG,Not_DEG
MGG_00225,Not_DEG,Not_DEG,Dbip1,Not_DEG,Not_DEG,Not_DEG
MGG_00226,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG,Not_DEG
MGG_00227,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG,Not_DEG
MGG_00242,Not_DEG,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00243,Dbip1,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1
MGG_00244,Not_DEG,Not_DEG,Dbip1,Dmst12,Not_DEG,Dmst12
MGG_00245,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Dmst12,"Dbip1, Dmst12"
MGG_00246,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG
MGG_00249,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12"
MGG_00253,Not_DEG,Not_DEG,Dbip1,Not_DEG,Not_DEG,Not_DEG
MGG_00255,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dmst12
MGG_00256,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dmst12
MGG_00257,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00258,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12"
MGG_00259,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dmst12,Not_DEG
MGG_00260,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00261,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00265,Dmst12,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00268,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00270,"Dbip1, Dmst12","Dbip1, Dmst12",Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00271,Not_DEG,Not_DEG,Not_DEG,Dmst12,Not_DEG,Dmst12
MGG_00272,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12"
MGG_00274,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1
MGG_00275,Not_DEG,Not_DEG,Dbip1,Not_DEG,Not_DEG,Not_DEG
MGG_00276,Not_DEG,Dbip1,Not_DEG,Not_DEG,Dbip1,Not_DEG
MGG_00281,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1
MGG_00282,Not_DEG,Not_DEG,Dbip1,Not_DEG,Dmst12,Not_DEG
MGG_00283,Not_DEG,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00287,Not_DEG,Not_DEG,Dbip1,Not_DEG,Not_DEG,Not_DEG
MGG_00289,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dmst12,Not_DEG
MGG_00290,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00294,Not_DEG,Dbip1,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00295,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00296,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1
MGG_00298,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,"Dbip1, Dmst12"
MGG_00299,Not_DEG,Not_DEG,Not_DEG,Dmst12,Not_DEG,"Dbip1, Dmst12"
MGG_00300,Not_DEG,Not_DEG,Not_DEG,Dmst12,Not_DEG,Dbip1
MGG_00302,Not_DEG,Not_DEG,Not_DEG,Dmst12,Not_DEG,Not_DEG
MGG_00304,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1
MGG_00305,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1
MGG_00308,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00309,Not_DEG,Not_DEG,Not_DEG,Dmst12,Not_DEG,Not_DEG
MGG_00310,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,Dbip1
MGG_00311,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12"
MGG_00314,Not_DEG,Not_DEG,Not_DEG,Dmst12,Not_DEG,Not_DEG
MGG_00317,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dmst12,Not_DEG
MGG_00319,Not_DEG,Not_DEG,Dmst12,Not_DEG,Not_DEG,Not_DEG
MGG_00320,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12"
MGG_00338,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12"
MGG_00339,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,"Dbip1, Dmst12"
MGG_00343,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dmst12
MGG_00345,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00346,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00347,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Dbip1
MGG_00348,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00350,Not_DEG,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00352,Not_DEG,Dbip1,Dmst12,Not_DEG,Dbip1,Not_DEG
MGG_00354,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1,Not_DEG
MGG_00356,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1,Not_DEG
MGG_00357,Not_DEG,Dbip1,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00359,Not_DEG,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00361,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00363,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00369,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00371,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1,Not_DEG
MGG_00374,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dmst12
MGG_00375,Not_DEG,Dbip1,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG
MGG_00380,Not_DEG,Dmst12,Not_DEG,Dmst12,Not_DEG,Not_DEG
MGG_00382,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG
MGG_00383,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG
MGG_00384,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1,Dbip1
MGG_00385,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,Dbip1
MGG_00388,Not_DEG,Dbip1,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00390,Not_DEG,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00392,"Dbip1, Dmst12",Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00393,"Dbip1, Dmst12",Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00397,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00399,Not_DEG,Not_DEG,Dbip1,Not_DEG,Not_DEG,Not_DEG
MGG_00400,Not_DEG,Dmst12,Dbip1,Not_DEG,Not_DEG,Not_DEG
MGG_00401,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG
MGG_00408,Not_DEG,Not_DEG,Not_DEG,Dmst12,Not_DEG,Not_DEG
MGG_00409,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG,Not_DEG
MGG_00410,Not_DEG,Not_DEG,Dbip1,Not_DEG,Not_DEG,Dbip1
MGG_00413,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00420,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1
MGG_00421,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1
MGG_00427,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00431,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dmst12,Dmst12
MGG_00435,Not_DEG,Not_DEG,Dbip1,Not_DEG,Not_DEG,"Dbip1, Dmst12"
MGG_00438,Not_DEG,Not_DEG,Dbip1,Not_DEG,Not_DEG,Dmst12
MGG_00439,Not_DEG,Not_DEG,Dbip1,"Dbip1, Dmst12",Not_DEG,Not_DEG
MGG_00440,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00450,Not_DEG,Not_DEG,Dbip1,Not_DEG,Not_DEG,Not_DEG
MGG_00451,Not_DEG,"Dbip1, Dmst12",Not_DEG,Dmst12,Not_DEG,Not_DEG
MGG_00457,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1,Not_DEG
MGG_00458,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG,Not_DEG
MGG_00460,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG,Not_DEG
MGG_00461,Not_DEG,Not_DEG,Dbip1,Dmst12,Not_DEG,"Dbip1, Dmst12"
MGG_00464,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG,Not_DEG
MGG_00467,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG
MGG_00468,Not_DEG,Not_DEG,Not_DEG,Dmst12,Dbip1,Not_DEG
MGG_00470,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dmst12
MGG_00471,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00473,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1,Not_DEG
MGG_00475,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00476,"Dbip1, Dmst12",Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00479,Not_DEG,Dbip1,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00482,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00485,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1,Not_DEG
MGG_00487,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00488,Not_DEG,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00496,Not_DEG,Not_DEG,Not_DEG,Dmst12,Not_DEG,Not_DEG
MGG_00501,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00503,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1,Not_DEG
MGG_00505,Dmst12,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG,Not_DEG
MGG_00511,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12"
MGG_00512,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1,"Dbip1, Dmst12"
MGG_00513,"Dbip1, Dmst12",Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12"
MGG_00514,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12"
MGG_00517,Dmst12,Not_DEG,Dbip1,Not_DEG,Not_DEG,Not_DEG
MGG_00518,Not_DEG,Dbip1,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00519,Not_DEG,Not_DEG,Not_DEG,Dmst12,Not_DEG,"Dbip1, Dmst12"
MGG_00521,Dbip1,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00523,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00527,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG,Not_DEG
MGG_00529,Not_DEG,Dmst12,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG
MGG_00531,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1,Not_DEG
MGG_00534,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG,Not_DEG
MGG_00537,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00540,"Dbip1, Dmst12",Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00541,"Dbip1, Dmst12",Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00542,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00543,Not_DEG,Not_DEG,Dbip1,"Dbip1, Dmst12",Not_DEG,"Dbip1, Dmst12"
MGG_00545,Not_DEG,Dmst12,Not_DEG,Not_DEG,Not_DEG,Dbip1
MGG_00547,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG,Not_DEG
MGG_00548,Not_DEG,Not_DEG,Dmst12,Not_DEG,Not_DEG,"Dbip1, Dmst12"
MGG_00549,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12"
MGG_00554,Not_DEG,Not_DEG,Dmst12,Not_DEG,Not_DEG,Not_DEG
MGG_00555,Not_DEG,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12","Dbip1, Dmst12"
MGG_00560,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dbip1,Not_DEG
MGG_00566,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Dmst12,Not_DEG
MGG_00571,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG,Not_DEG
MGG_00572,Not_DEG,Not_DEG,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG
MGG_00573,Not_DEG,Dmst12,Not_DEG,"Dbip1, Dmst12",Not_DEG,Not_DEG
MGG_00574,Not_DEG,Not_DEG,Not_DEG,Dmst12,Not_DEG,Not_DEG
MGG_00575,Not_DEG,Not_DEG,Dbip1,Not_DEG,Not_DEG,Not_DEG
MGG_00580,Not_DEG,Dmst12,Not_DEG,Not_DEG,Not_DEG,Not_DEG
