target_id Guy11_0h Guy11_4h Guy11_24h Dbip1_0h Dbip1_4h Dbip1_24h Dmst12_0h Dmst12_4h Dmst12_24h
MGG_04395T0 2169.6466666666665 4574.0633333333335 2303.3566666666666 5174.486666666667 6260.683333333333 3145.55 3912.863333333333 3957.8966666666665 2433.923333333333
MGG_05996T0 2122 4287.333333333333 2168.6666666666665 4550.333333333333 4682.333333333333 2756.3333333333335 3930.3333333333335 4273 2992
MGG_04051T0 268.6666666666667 496 287.06 604.3333333333334 610.008 367.6666666666667 404.6666666666667 524.382 370.396
MGG_17953T0 1644.0333333333333 3666.64 2493.4633333333336 3632.24 3641.8 3069.3399999999997 3240.79 3843.8 2863.306666666667
MGG_05049T0 340 897.3333333333334 530.3333333333334 1057.3333333333333 970.6666666666666 603.6666666666666 786.3333333333334 1072.6666666666667 660.6666666666666
MGG_05210T0 1081 2465.3333333333335 1708.3333333333333 2692.6666666666665 3102 1892.3333333333333 2236.3333333333335 2445.6666666666665 2506
MGG_13800T0 194.33333333333337 759 294 844.3333333333334 965.6666666666666 523 654.6666666666666 795 595
MGG_08637T0 1357.6666666666667 3336 1894 3582.3333333333335 4135 2692.3333333333335 3365 3926.3333333333335 3159.6666666666665
MGG_06097T0 517.0023333333334 1518.47 902.084 1912.4466666666665 1872.986666666667 1433.7933333333333 1650.9 1573.23 1357.73
MGG_02737T0 690 1408.6666666666667 861.3333333333334 1757.3333333333333 1903 1203.3333333333333 1738.3333333333333 1641.3333333333333 1327
MGG_11467T0 283.6666666666667 633.3333333333334 333.7846666666667 751 916.8386666666668 390.512 577.3333333333334 875.9056666666667 702
MGG_04007T0 798.6666666666666 1501 856 1650 1977 1122.6666666666667 1700.3333333333333 2105.3333333333335 1601
MGG_00145T0 746.6016666666667 1536.66 850.6066666666667 1643.6533333333334 1996.14 918.9603333333332 1291.09 2359.42 1424.6366666666668
MGG_18115T0 20.828386666666667 42.6289 14.4338 52.14326666666667 61.90533333333333 34.91916666666667 37.16523333333333 72.82853333333333 48.15056666666667
MGG_06690T0 1104.3333333333333 1542 1245 2545 2242.3333333333335 1649.6666666666667 2091 2919.3333333333335 1947.6666666666667
MGG_00667T0 982 1656 1325.6666666666667 2672.693333333333 2867 1251.4033333333334 2177.6666666666665 3647.7 2196.3333333333335
MGG_04189T0 353.3333333333333 806.6666666666666 644.3333333333334 1151 1240.6666666666667 692 963.6666666666666 1181.6666666666667 923.6666666666666
MGG_11860T0 91.66666666666669 262.6666666666667 193 358.6666666666667 359.6666666666667 210 385 429 314
MGG_02062T0 231 451 352.3333333333333 573.6666666666666 733.5103333333333 571.3333333333334 544.3333333333334 834.8613333333333 593.3333333333334
MGG_03637T0 464.6666666666667 1072 982.3333333333334 1527 1864.67 1144.5366666666666 1224.496666666667 2294.67 1143.263333333333
MGG_04185T0 938.3333333333334 2629.6666666666665 1938.3333333333333 2367 3133.3333333333335 2119.3333333333335 2492.6666666666665 3733 2039.3333333333333
MGG_03232T0 564 1270.3333333333333 1188.3333333333333 1274.6666666666667 1760.3333333333333 1016 1457 1748.3333333333333 1104
MGG_01258T0 935.903 1767.9 1548.3166666666666 1890.0366666666664 2346.503333333333 1532.27 2079.5166666666664 2539.5333333333333 1658.26
MGG_03888T0 296.6666666666667 598 432 658.6666666666666 754 484.3333333333333 493.6666666666667 731 557
MGG_00890T0 401.3333333333333 942.3333333333334 827.6666666666666 988.6666666666666 1437.6666666666667 767.3333333333334 922 1396.3333333333333 1057.3333333333333
MGG_08186T0 589 1112.6666666666667 922.3333333333334 1188.6666666666667 1606.3333333333333 1019.6666666666666 1058.3333333333333 1462.6666666666667 1085
MGG_02996T0 415 793 759.6666666666666 875 972.3333333333334 721 736.3333333333334 1045.3333333333333 858
MGG_02183T0 648.6666666666666 1595.3333333333333 1322.6666666666667 1866.3333333333333 1983.6666666666667 1439.3333333333333 1703 2345.6666666666665 1735.3333333333333
MGG_01352T0 318 913.3333333333334 831.6666666666666 1186.6666666666667 1272.6666666666667 894 1003 1364 1011.3333333333334
MGG_08935T0 534 1295.3333333333333 1045.6666666666667 1369.6666666666667 1457.6666666666667 959 1150 1570.6666666666667 1120
MGG_00924T0 1351.3333333333333 2610.6666666666665 2631 3012.3333333333335 3023.3333333333335 1980.3333333333333 2601 3345.6666666666665 2327.3333333333335
MGG_02944T0 1694.6666666666667 4724.666666666667 2997.6666666666665 4166.333333333333 6666.333333333333 3443.6666666666665 5162 6677.333333333333 3903.6666666666665
MGG_03162T0 3864 11668 4651 9022 17576 8315.666666666666 12000.333333333334 19997.333333333332 7707.333333333333
MGG_00736T0 364.6666666666667 874.6666666666666 472.3333333333333 847 1225 637.3333333333334 894.6666666666666 1378.6666666666667 706.6666666666666
MGG_05700T0 308.35766666666666 706.6666666666666 367.6933333333333 660.6666666666666 932 458.6666666666667 688.3333333333334 1057.07 590.6666666666666
MGG_17055T0 0 4.333333333333333 0.6666666666666666 3.666666666666667 5.666666666666667 2.333333333333333 4 6 1.6666666666666663
MGG_00397T0 422 1147 520.3333333333334 892.6666666666666 1441.3333333333333 599.6666666666666 1041.3333333333333 1284.6666666666667 636.6666666666666
MGG_05211T0 1576.3333333333333 4057.6666666666665 2347.3333333333335 3291.6666666666665 5053.333333333333 2663.6666666666665 4030.3333333333335 4840.333333333333 2607.3333333333335
MGG_08654T0 397.6666666666667 1301.6666666666667 387.3333333333333 1092.6666666666667 1545.3333333333333 630.3333333333334 1081 1755 577.6666666666666
MGG_09263T0 2461.056666666667 5992.9000000000005 2120.5866666666666 5025.21 7006.743333333334 3102.9566666666665 5422.833333333334 8536.12 3053.473333333334
MGG_06706T0 1010.6666666666666 2106.6666666666665 1253.3333333333333 2268.3333333333335 3410.3333333333335 1468 2402.6666666666665 3209.3333333333335 1603
MGG_05212T0 742.3333333333334 1557 747.6666666666666 1579.3333333333333 2018.3333333333333 919 1509 2057.6666666666665 812
MGG_11546T0 1678.3333333333333 4776 1651.3333333333333 5170 7483.666666666667 2369.3333333333335 4788 7490.333333333333 2732.3333333333335
MGG_00704T0 705 1747.3333333333333 630.3333333333334 1653 1744.6666666666667 1024 1254 1914.3333333333333 978.6666666666666
MGG_05032T0 161.66666666666666 597 283.6666666666667 495.6666666666667 658.3333333333334 398.6666666666667 430.6666666666667 693.6666666666666 408
MGG_08911T0 764 2657.6666666666665 1217.3333333333333 2416 2882.3333333333335 1515 2183 3098.6666666666665 1678.3333333333333
MGG_09930T0 390.3333333333333 1108.3333333333333 498 911.3333333333334 1231.3333333333333 650.3333333333334 808 1281.3333333333333 642.3333333333334
MGG_00654T0 537.3333333333334 1989 865 1602 2672.6666666666665 1327 1582.3333333333333 2185.3333333333335 1214
MGG_06016T0 894.6666666666666 2684.6666666666665 1161.6666666666667 2356 3035.3333333333335 1562 2095.3333333333335 2781 1455
MGG_04123T0 419 1127.6666666666667 411.6666666666667 966 1401 705.3333333333334 835.6666666666666 1256.3333333333333 599.6666666666666
MGG_11888T0 1221 3107 1632.3333333333333 2828.286666666667 3231.0066666666667 2007.3333333333333 2720.6666666666665 3101.3333333333335 1708.6666666666667
MGG_06258T0 893 2129.0733333333333 1190.3333333333333 1805.3333333333333 1954 1155.3333333333333 1652.6666666666667 1940.7966666666664 1268.3333333333333
MGG_05244T0 2419 5604.333333333333 3827.6666666666665 5800.333333333333 6620 3405 4729.333333333333 6448.666666666667 3625.6666666666665
MGG_00356T0 1096.3333333333333 3115 2158 2697.3333333333335 3371.3333333333335 1925.6666666666667 2439.3333333333335 3182.6666666666665 2108
MGG_11817T0 353 818 570.6666666666666 745.3333333333334 928.6666666666666 525.3333333333334 764.3333333333334 868.6666666666666 619
MGG_04686T0 291.6666666666667 1032.6666666666667 579.6666666666666 1025 1308 686.3333333333334 1426.3333333333333 1280.3333333333333 938.6666666666666
MGG_00183T0 637.3333333333334 2573.6666666666665 1566 2088.3333333333335 3136 2039.6666666666667 2849.3333333333335 3196 2167.6666666666665
MGG_06297T0 711.3333333333334 1573 1009.6666666666666 1456.6666666666667 1750 1316.3333333333333 1687.6666666666667 1670 1401.6666666666667
MGG_16341T0 9835.333333333334 22781.666666666668 13354.333333333334 23724 25574 20285.666666666668 24779.333333333332 34569.666666666664 18793.666666666668
MGG_05259T0 1056.3333333333333 2321.3333333333335 1368.6666666666667 1966.3333333333333 2495.3333333333335 1591.6666666666667 2519 3233.6666666666665 2143.3333333333335
MGG_11473T0 187 322.6666666666667 112.33333333333331 480.3333333333333 310 263.6666666666667 282 352.6666666666667 194
MGG_07077T0 2058.6033333333335 2937.91 1894.2066666666667 7256.256666666667 5221.833333333333 2203.6966666666667 4885.573333333334 5381.426666666666 2737.9966666666664
MGG_11457T1 296.8176666666667 274.104 170.651 798.5656666666666 390.43733333333336 219.70566666666667 501.379 597.8113333333333 274.256
MGG_00164T0 3325.3333333333335 2406.3333333333335 1358.3333333333333 8171.333333333333 4873 2177 4912.666666666667 5862.666666666667 1436.3333333333333
MGG_06351T0 3289.0666666666666 2378.99 1265.0533333333333 7949.323333333334 4010.496666666667 1413.77 4735.846666666666 4912.55 1366.0566666666666
MGG_13007T0 1856.6666666666667 2296.6666666666665 822 4120.666666666667 2315.3333333333335 342.3333333333333 2052 3875.6666666666665 396.6666666666667
MGG_10879T0 1901 1189.6666666666667 434.6666666666667 5137.333333333333 3604.3333333333335 675.3333333333334 1883.3333333333333 4961.333333333333 849.3333333333334
MGG_03715T0 1777.3333333333333 1561.3333333333333 1143.3333333333333 4436.666666666667 2536.3333333333335 933 2441.6666666666665 4026.6666666666665 1153
MGG_03531T0 1182 2125.3333333333335 1447.3333333333333 3714 2979.6666666666665 1425.3333333333333 1852 2868.6666666666665 1697.3333333333333
MGG_07442T0 2839 2547 2000 6100 5468 1688.3333333333333 3653 4723 1762.6666666666667
MGG_00021T0 6.333333333333333 12 0 26.333333333333332 17.666666666666668 2.6666666666666665 13 12.333333333333334 1.6666666666666667
MGG_06350T1 127.643 179.41400000000002 11.193600020925468 254.03933333333333 235.39033333333333 172.61533333333333 242.25866666666667 262.688 87.00416666666666
MGG_07494T0 1151.6666666666667 1200 459.6666666666667 2150.6666666666665 1683.6666666666667 1188 1771.6666666666667 2427 808.6666666666666
MGG_05931T0 1800.3033333333333 1312.22 524.885 2728.9133333333334 2559.8133333333335 1363.493333333333 1983.3066666666664 3053.13 820.3383333333334
MGG_03667T0 3714 3209.6666666666665 1187.3333333333333 5798.333333333333 5825.333333333333 2422.3333333333335 5190.666666666667 6651.333333333333 1034
MGG_04727T0 1533.3333333333333 2536.6666666666665 2354.3333333333335 4013 4659.666666666667 2305 2716.3333333333335 4566.666666666667 2321.6666666666665
MGG_06146T0 1422.3333333333333 3084 1462.3333333333333 3914.3333333333335 3690.3333333333335 2112.6666666666665 4205.333333333333 5516 2130.6666666666665
MGG_10857T0 1131.6666666666667 2189.6666666666665 1556.3333333333333 2707.6666666666665 3403.6666666666665 1676.3333333333333 2719 4507.333333333333 1982.6666666666667
MGG_06572T0 2745.6666666666665 5396.666666666667 3523.3333333333335 5830 6771 3034.6666666666665 6150 8268.666666666666 3568.6666666666665
MGG_08645T0 1353.3333333333333 2191.6666666666665 1792.6666666666667 2641 3277.6666666666665 1556 2997 3853.3333333333335 1844
MGG_15244T0 488.3333333333333 1115.3333333333333 493 1468.6666666666667 1350.6666666666667 790 1031.3333333333333 1996 829
MGG_10528T0 874 1817 1073.6666666666667 2317 2280 1320.6666666666667 1676.6666666666667 3475.6666666666665 1412.6666666666667
MGG_05233T0 1892.64 4379.333333333334 2011.98 6126.183333333333 6576.61 1417.21 4471.5 8603.29 1334.36
MGG_16213T0 4028.6666666666665 5096 3792.6666666666665 8556.333333333334 10256.333333333334 3206.3333333333335 7711 12094 4763
MGG_07745T0 2577 4197.666666666667 2876.6666666666665 6094.666666666667 6781 2789 5066 7644 3281
MGG_05643T0 1214.3333333333333 2177.6666666666665 932 3152.3333333333335 4066 1481.6666666666667 2808.6666666666665 4504 1442.6666666666667
MGG_02716T0 3414.193333333333 5567.923333333333 3680.8033333333337 11314.533333333333 10957.566666666666 3873.6766666666663 8572.97 12853.433333333332 3742.153333333333
