ProtID	GO_ID
MGG_00167	GO:0046872, GO:0009055, GO:0051537, GO:0005743, GO:0006099, GO:0016491, GO:0055114, GO:0051539, GO:0051536, GO:0051538, GO:0008177, GO:0005739, GO:0022900
MGG_00168	GO:0009055, GO:0005743, GO:0050660, GO:0006099, GO:0016491, GO:0055114, GO:0022900, GO:0016627, GO:0005575, GO:0008177, GO:0016020, GO:0045333
MGG_00169	GO:0003677, GO:0005634, GO:0043565, GO:0005622, GO:0046982
MGG_00170	GO:0005737, GO:0006508, GO:0005634, GO:0016787, GO:0043161, GO:0004175, GO:0008233, GO:0051603, GO:0000502, GO:0005839, GO:0004298, GO:0010499, GO:0019774, GO:0080129
MGG_00171	GO:0006487, GO:0005801, GO:0008150, GO:0005575, GO:0000009, GO:0000136
MGG_00172	GO:0006508, GO:0004222, GO:0008233, GO:0002949, GO:0005575
MGG_00174	GO:0006338
MGG_00175	GO:0019521, GO:0050662, GO:0000166, GO:0016491, GO:0006098, GO:0055114, GO:0050661, GO:0004616, GO:0016616, GO:0009051, GO:0046177, GO:0061688
MGG_00176	GO:0003674, GO:0008150, GO:0005575
MGG_00177	GO:0016021, GO:0003674, GO:0008150, GO:0005575, GO:0016020
MGG_00178	GO:0005730, GO:0006364, GO:0003674, GO:0005575, GO:0005634, GO:0042254
MGG_00179	GO:0003674, GO:0005575
MGG_00180	GO:0016881, GO:0005575, GO:0070647
MGG_00181	GO:0003674, GO:0008150, GO:0005575
MGG_00183	GO:0005737, GO:0005524, GO:0004672, GO:0000166, GO:0004674, GO:0006468, GO:0016772, GO:0016301, GO:0016310, GO:0004709, GO:0031098, GO:1990315, GO:0000161, GO:0051403, GO:0016740, GO:0051094
MGG_00184	GO:0003677, GO:0005634, GO:0006355, GO:0043565, GO:0003700, GO:0000981, GO:0006357
MGG_00187	GO:0016787, GO:0005575
MGG_00190	GO:0046983
MGG_00193	GO:0006397, GO:0003723, GO:0005730, GO:0000049, GO:0000176, GO:0004521, GO:0004540, GO:0008150, GO:0005575, GO:0090502, GO:0000467, GO:0071035, GO:0071038, GO:0000177, GO:0000175, GO:0043628, GO:0070651, GO:0071028, GO:0071039, GO:0003676, GO:0016787, GO:0005634, GO:0000178, GO:0016075, GO:0006396, GO:0006401
MGG_00194	GO:0005783, GO:0003674
MGG_00195	GO:0009058, GO:0003674, GO:0005575, GO:0016757
MGG_00198	GO:0020037, GO:0005506, GO:0006810, GO:0016491, GO:0055114, GO:0019825, GO:0015671, GO:0005575, GO:0004128, GO:0071949, GO:0008941, GO:0051409, GO:0046872, GO:0062197
MGG_00199	GO:0005085, GO:0007264, GO:0005622, GO:0051056, GO:0050790, GO:0005515
MGG_00201	GO:0016021, GO:0055085, GO:0022857, GO:0016020
MGG_00202	GO:0005575, GO:0016799
MGG_00203	GO:0005524, GO:0004672, GO:0006468, GO:0005575
MGG_00204	GO:0016021, GO:0055085, GO:0022857, GO:0016020
MGG_00205	GO:0016021, GO:0003674, GO:0008150, GO:0005575, GO:0016020
MGG_00207	GO:0009055, GO:0005743, GO:0070469, GO:0016020, GO:0008137, GO:0032981, GO:0005739
MGG_00210	GO:0003674, GO:0008150, GO:0005575
MGG_00211	GO:0016042, GO:0004871, GO:0006629, GO:0005622, GO:0007165, GO:0008081, GO:0035556, GO:0004435, GO:0005575, GO:0016787
MGG_00212	GO:0046872, GO:0005759, GO:0030145, GO:0016491, GO:0055114, GO:0004784, GO:0006801, GO:0005575, GO:0001320, GO:0072593, GO:0001302, GO:0019430, GO:0005739
MGG_00213	GO:0005634, GO:0006260, GO:0000811, GO:0000727, GO:0006261, GO:0006268, GO:0031261, GO:0031298, GO:0043596, GO:0071162
MGG_00215	GO:0006629, GO:0016788
MGG_00216	GO:0003674, GO:0008150, GO:0005575
MGG_00220	GO:0046872, GO:0008270, GO:0000166, GO:0016491, GO:0055114, GO:0008150, GO:0005575
MGG_00221	GO:0006412, GO:0003735, GO:0005840, GO:0005622, GO:1990904
MGG_00222	GO:0005869, GO:0008150, GO:0005575
MGG_00223	GO:0008270, GO:0005975, GO:0003824, GO:0006096, GO:0004332, GO:0016832, GO:0005575, GO:0046872, GO:0016829, GO:1904408, GO:0006094, GO:0005739, GO:0005829
MGG_00226	GO:0005515
MGG_00227	GO:0008061, GO:0003674, GO:0008150, GO:0005575
MGG_00230	GO:0008152, GO:0009405, GO:0005576, GO:0003824, GO:0003674, GO:0008150, GO:0005575, GO:0005615, GO:0090729, GO:0035821
MGG_00232	GO:0003674, GO:0008150, GO:0005575
MGG_00233	GO:0008270, GO:0000166, GO:0008152, GO:0016740, GO:0003824, GO:0016491, GO:0055114, GO:0006633, GO:0004315, GO:0009058, GO:0016747, GO:0031177, GO:0016746, GO:0044281, GO:0044550, GO:1901576
MGG_00234	GO:0032259, GO:0016740, GO:0008168, GO:0008171, GO:0003674, GO:0008150, GO:0005575, GO:0019748
MGG_00238	GO:0046872, GO:0009055, GO:0020037, GO:0005506, GO:0055114, GO:0004497, GO:0016705, GO:0016491
MGG_00239	GO:0016021, GO:0005524, GO:0006200, GO:0000166, GO:0006810, GO:0055085, GO:0016887, GO:0017111, GO:0042626, GO:0140359, GO:0016020
MGG_00241	GO:0008152, GO:0016740, GO:0003824, GO:0016746, GO:0009058, GO:0016788, GO:0048037
MGG_00242	GO:0003674, GO:0008150, GO:0005575
MGG_00244	GO:0000166, GO:0008152, GO:0016491, GO:0055114, GO:0003674, GO:0008150, GO:0005575, GO:0044249, GO:1901576
MGG_00245	GO:0019028, GO:0003674, GO:0008150, GO:0005575
MGG_00246	GO:0046872, GO:0008270, GO:0000166, GO:0016491, GO:0055114, GO:0008150, GO:0005575
MGG_00249	GO:0008270, GO:0046872
MGG_00252	GO:0003674, GO:0005575
