GO.ID	Term	Annotated	Significant	Expected	topgoFisher	filename	GO_cat
GO:0034511	U3 snoRNA binding	6	4	0.37	2e-04	downreg_Dmst12_0h	MF
GO:0003677	DNA binding	465	51	28.81	0.00028	downreg_Dmst12_0h	MF
GO:0140359	ABC-type transporter activity	41	9	2.54	0.00074	downreg_Dmst12_0h	MF
GO:0043021	ribonucleoprotein complex binding	27	6	1.67	0.00083	downreg_Dmst12_0h	MF
GO:0032549	ribonucleoside binding	4	3	0.25	9e-04	downreg_Dmst12_0h	MF
GO:0042802	identical protein binding	45	10	2.79	0.00267	downreg_Dmst12_0h	MF
GO:0050660	flavin adenine dinucleotide binding	166	18	10.28	0.00312	downreg_Dmst12_0h	MF
GO:0016817	hydrolase activity, acting on acid anhyd...	335	50	20.75	0.00346	downreg_Dmst12_0h	MF
GO:0004449	isocitrate dehydrogenase (NAD+) activity	2	2	0.12	0.00383	downreg_Dmst12_0h	MF
GO:0017111	ribonucleoside triphosphate phosphatase ...	304	45	18.83	0.00572	downreg_Dmst12_0h	MF
GO:0000156	phosphorelay response regulator activity	13	4	0.81	0.00665	downreg_Dmst12_0h	MF
GO:0005388	P-type calcium transporter activity	7	3	0.43	0.00686	downreg_Dmst12_0h	MF
GO:0003918	DNA topoisomerase type II (double strand...	3	2	0.19	0.01102	downreg_Dmst12_0h	MF
GO:0004375	glycine dehydrogenase (decarboxylating) ...	3	2	0.19	0.01102	downreg_Dmst12_0h	MF
GO:0003899	DNA-directed 5'-3' RNA polymerase activi...	32	9	1.98	0.01773	downreg_Dmst12_0h	MF
GO:0008320	protein transmembrane transporter activi...	9	3	0.56	0.02109	downreg_Dmst12_0h	MF
GO:0070180	large ribosomal subunit rRNA binding	4	2	0.25	0.02114	downreg_Dmst12_0h	MF
GO:0102265	tRNA-dihydrouridine47 synthase activity	4	2	0.25	0.02114	downreg_Dmst12_0h	MF
GO:0005347	ATP transmembrane transporter activity	20	4	1.24	0.03194	downreg_Dmst12_0h	MF
GO:0042803	protein homodimerization activity	5	2	0.31	0.0338	downreg_Dmst12_0h	MF
GO:0017056	structural constituent of nuclear pore	12	3	0.74	0.03419	downreg_Dmst12_0h	MF
GO:0051539	4 iron, 4 sulfur cluster binding	31	5	1.92	0.03999	downreg_Dmst12_0h	MF
GO:0000155	phosphorelay sensor kinase activity	13	3	0.81	0.04245	downreg_Dmst12_0h	MF
GO:0005525	GTP binding	125	13	7.74	0.04546	downreg_Dmst12_0h	MF
GO:0003725	double-stranded RNA binding	6	2	0.37	0.04865	downreg_Dmst12_0h	MF
GO:0016491	oxidoreductase activity	982	131	75.94	6.9e-09	downreg_Dmst12_24h	MF
GO:0022857	transmembrane transporter activity	596	65	46.09	5e-05	downreg_Dmst12_24h	MF
GO:0020037	heme binding	182	26	14.07	0.0016	downreg_Dmst12_24h	MF
GO:0004497	monooxygenase activity	184	27	14.23	0.0039	downreg_Dmst12_24h	MF
GO:0102483	scopolin beta-glucosidase activity	10	4	0.77	0.0051	downreg_Dmst12_24h	MF
GO:0016757	glycosyltransferase activity	117	13	9.05	0.0056	downreg_Dmst12_24h	MF
GO:0071949	FAD binding	77	13	5.95	0.0057	downreg_Dmst12_24h	MF
GO:0030729	acetoacetate-CoA ligase activity	2	2	0.15	0.006	downreg_Dmst12_24h	MF
GO:0000166	nucleotide binding	1397	123	108.03	0.0065	downreg_Dmst12_24h	MF
GO:0102953	hypoglycin A gamma-glutamyl transpeptida...	3	2	0.23	0.017	downreg_Dmst12_24h	MF
GO:0004375	glycine dehydrogenase (decarboxylating) ...	3	2	0.23	0.017	downreg_Dmst12_24h	MF
GO:0103068	leukotriene C4 gamma-glutamyl transferas...	3	2	0.23	0.017	downreg_Dmst12_24h	MF
GO:0050660	flavin adenine dinucleotide binding	166	26	12.84	0.0174	downreg_Dmst12_24h	MF
GO:0008422	beta-glucosidase activity	14	4	1.08	0.019	downreg_Dmst12_24h	MF
GO:0043169	cation binding	1484	120	114.76	0.0297	downreg_Dmst12_24h	MF
GO:0008812	choline dehydrogenase activity	16	4	1.24	0.0305	downreg_Dmst12_24h	MF
GO:0030170	pyridoxal phosphate binding	67	10	5.18	0.0321	downreg_Dmst12_24h	MF
GO:0036374	glutathione hydrolase activity	4	2	0.31	0.0323	downreg_Dmst12_24h	MF
GO:0003878	ATP citrate synthase activity	4	2	0.31	0.0323	downreg_Dmst12_24h	MF
GO:0004553	hydrolase activity, hydrolyzing O-glycos...	216	31	16.7	0.035	downreg_Dmst12_24h	MF
GO:0140359	ABC-type transporter activity	41	7	3.17	0.0359	downreg_Dmst12_24h	MF
GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthas...	25	5	1.93	0.0396	downreg_Dmst12_24h	MF
GO:0009055	electron transfer activity	206	24	15.93	0.0443	downreg_Dmst12_24h	MF
GO:0005506	iron ion binding	202	23	15.62	0.0484	downreg_Dmst12_24h	MF
GO:0000981	DNA-binding transcription factor activit...	189	29	12.79	2.6e-05	downreg_Dmst12_4h	MF
GO:0005200	structural constituent of cytoskeleton	6	4	0.41	0.00028	downreg_Dmst12_4h	MF
GO:0008270	zinc ion binding	671	68	45.42	0.00042	downreg_Dmst12_4h	MF
GO:0003746	translation elongation factor activity	17	6	1.15	0.00061	downreg_Dmst12_4h	MF
GO:0005524	ATP binding	656	66	44.41	0.00063	downreg_Dmst12_4h	MF
GO:0008526	phosphatidylinositol transfer activity	2	2	0.14	0.00458	downreg_Dmst12_4h	MF
GO:0002161	aminoacyl-tRNA editing activity	7	4	0.47	0.00527	downreg_Dmst12_4h	MF
GO:0003700	DNA-binding transcription factor activit...	249	39	16.86	0.0054	downreg_Dmst12_4h	MF
GO:0000155	phosphorelay sensor kinase activity	13	4	0.88	0.00909	downreg_Dmst12_4h	MF
GO:0051537	2 iron, 2 sulfur cluster binding	20	5	1.35	0.00924	downreg_Dmst12_4h	MF
GO:0003755	peptidyl-prolyl cis-trans isomerase acti...	21	5	1.42	0.01147	downreg_Dmst12_4h	MF
GO:0016491	oxidoreductase activity	982	81	66.47	0.01148	downreg_Dmst12_4h	MF
GO:0004332	fructose-bisphosphate aldolase activity	3	2	0.2	0.01311	downreg_Dmst12_4h	MF
GO:0004826	phenylalanine-tRNA ligase activity	3	2	0.2	0.01311	downreg_Dmst12_4h	MF
GO:0004075	biotin carboxylase activity	4	2	0.27	0.02504	downreg_Dmst12_4h	MF
GO:0004364	glutathione transferase activity	4	2	0.27	0.02504	downreg_Dmst12_4h	MF
GO:0003756	protein disulfide isomerase activity	5	2	0.34	0.03988	downreg_Dmst12_4h	MF
GO:0000049	tRNA binding	20	4	1.35	0.04229	downreg_Dmst12_4h	MF
GO:0106310	protein serine kinase activity	12	3	0.81	0.04289	downreg_Dmst12_4h	MF
GO:0016491	oxidoreductase activity	982	119	70.62	0.00014	upreg_Dbip1_0h	MF
GO:0015035	protein-disulfide reductase activity	19	7	1.37	0.00118	upreg_Dbip1_0h	MF
GO:0000166	nucleotide binding	1397	110	100.47	0.00128	upreg_Dbip1_0h	MF
GO:0051879	Hsp90 protein binding	4	3	0.29	0.0014	upreg_Dbip1_0h	MF
GO:0003755	peptidyl-prolyl cis-trans isomerase acti...	21	6	1.51	0.00288	upreg_Dbip1_0h	MF
GO:0008379	thioredoxin peroxidase activity	2	2	0.14	0.00516	upreg_Dbip1_0h	MF
GO:0004020	adenylylsulfate kinase activity	2	2	0.14	0.00516	upreg_Dbip1_0h	MF
GO:0016706	2-oxoglutarate-dependent dioxygenase act...	26	6	1.87	0.00898	upreg_Dbip1_0h	MF
GO:0003824	catalytic activity	3791	354	272.63	0.01299	upreg_Dbip1_0h	MF
GO:0052861	glucan endo-1,3-beta-glucanase activity,...	3	2	0.22	0.01475	upreg_Dbip1_0h	MF
GO:0052862	glucan endo-1,4-beta-glucanase activity,...	3	2	0.22	0.01475	upreg_Dbip1_0h	MF
GO:0051787	misfolded protein binding	3	2	0.22	0.01475	upreg_Dbip1_0h	MF
GO:0019825	oxygen binding	3	2	0.22	0.01475	upreg_Dbip1_0h	MF
GO:0003849	3-deoxy-7-phosphoheptulonate synthase ac...	3	2	0.22	0.01475	upreg_Dbip1_0h	MF
GO:0004069	L-aspartate:2-oxoglutarate aminotransfer...	3	2	0.22	0.01475	upreg_Dbip1_0h	MF
GO:0008812	choline dehydrogenase activity	16	4	1.15	0.02405	upreg_Dbip1_0h	MF
GO:0003839	gamma-glutamylcyclotransferase activity	4	2	0.29	0.0281	upreg_Dbip1_0h	MF
GO:0005199	structural constituent of cell wall	4	2	0.29	0.0281	upreg_Dbip1_0h	MF
GO:0004096	catalase activity	4	2	0.29	0.0281	upreg_Dbip1_0h	MF
GO:0004733	pyridoxamine phosphate oxidase activity	4	2	0.29	0.0281	upreg_Dbip1_0h	MF
GO:0051213	dioxygenase activity	71	12	5.11	0.02978	upreg_Dbip1_0h	MF
GO:0008061	chitin binding	34	6	2.45	0.03226	upreg_Dbip1_0h	MF
GO:0016829	lyase activity	157	28	11.29	0.03776	upreg_Dbip1_0h	MF
GO:0046872	metal ion binding	1395	107	100.32	0.04397	upreg_Dbip1_0h	MF
GO:0003756	protein disulfide isomerase activity	5	2	0.36	0.04463	upreg_Dbip1_0h	MF
GO:0000287	magnesium ion binding	57	8	4.1	0.04985	upreg_Dbip1_0h	MF
GO:0004128	cytochrome-b5 reductase activity, acting...	12	3	0.86	0.04997	upreg_Dbip1_0h	MF
GO:0005506	iron ion binding	202	51	21.11	3.3e-09	upreg_Dbip1_24h	MF
GO:0004497	monooxygenase activity	184	49	19.23	1.8e-08	upreg_Dbip1_24h	MF
GO:0020037	heme binding	182	42	19.02	5.1e-07	upreg_Dbip1_24h	MF
GO:0009055	electron transfer activity	206	45	21.53	1e-06	upreg_Dbip1_24h	MF
GO:0016705	oxidoreductase activity, acting on paire...	198	47	20.69	1.5e-06	upreg_Dbip1_24h	MF
GO:0022857	transmembrane transporter activity	596	92	62.29	2.8e-06	upreg_Dbip1_24h	MF
GO:0016491	oxidoreductase activity	982	158	102.64	0.00062	upreg_Dbip1_24h	MF
GO:0035673	oligopeptide transmembrane transporter a...	12	6	1.25	0.00068	upreg_Dbip1_24h	MF
GO:0000293	ferric-chelate reductase activity	12	6	1.25	0.00068	upreg_Dbip1_24h	MF
GO:0071949	FAD binding	77	18	8.05	0.00078	upreg_Dbip1_24h	MF
GO:0016787	hydrolase activity	1442	146	150.71	0.00166	upreg_Dbip1_24h	MF
GO:0005375	copper ion transmembrane transporter act...	7	4	0.73	0.0032	upreg_Dbip1_24h	MF
GO:0008171	O-methyltransferase activity	25	8	2.61	0.00553	upreg_Dbip1_24h	MF
GO:0008531	riboflavin kinase activity	2	2	0.21	0.01091	upreg_Dbip1_24h	MF
GO:0015204	urea transmembrane transporter activity	2	2	0.21	0.01091	upreg_Dbip1_24h	MF
GO:0000981	DNA-binding transcription factor activit...	189	30	19.75	0.01284	upreg_Dbip1_24h	MF
GO:0050525	cutinase activity	10	4	1.05	0.01486	upreg_Dbip1_24h	MF
GO:0008762	UDP-N-acetylmuramate dehydrogenase activ...	39	9	4.08	0.01699	upreg_Dbip1_24h	MF
GO:0019120	hydrolase activity, acting on acid halid...	3	2	0.31	0.03046	upreg_Dbip1_24h	MF
GO:0030600	feruloyl esterase activity	13	4	1.36	0.03928	upreg_Dbip1_24h	MF
GO:0030151	molybdenum ion binding	8	3	0.84	0.04265	upreg_Dbip1_24h	MF
GO:0010333	terpene synthase activity	8	3	0.84	0.04265	upreg_Dbip1_24h	MF
GO:0016740	transferase activity	994	91	103.89	0.04913	upreg_Dbip1_24h	MF
GO:0003878	ATP citrate synthase activity	4	3	0.24	0.00081	upreg_Dbip1_4h	MF
GO:0004568	chitinase activity	15	5	0.9	0.00135	upreg_Dbip1_4h	MF
GO:0102483	scopolin beta-glucosidase activity	10	4	0.6	0.00197	upreg_Dbip1_4h	MF
GO:0035673	oligopeptide transmembrane transporter a...	12	4	0.72	0.00423	upreg_Dbip1_4h	MF
GO:0008422	beta-glucosidase activity	14	4	0.84	0.00777	upreg_Dbip1_4h	MF
GO:0030246	carbohydrate binding	70	9	4.18	0.01838	upreg_Dbip1_4h	MF
GO:0030527	structural constituent of chromatin	10	3	0.6	0.0185	upreg_Dbip1_4h	MF
GO:0004075	biotin carboxylase activity	4	2	0.24	0.01968	upreg_Dbip1_4h	MF
GO:0004252	serine-type endopeptidase activity	47	7	2.8	0.0204	upreg_Dbip1_4h	MF
GO:0004198	calcium-dependent cysteine-type endopept...	5	2	0.3	0.03151	upreg_Dbip1_4h	MF
GO:0008236	serine-type peptidase activity	68	11	4.06	0.03256	upreg_Dbip1_4h	MF
GO:0050660	flavin adenine dinucleotide binding	166	17	9.91	0.03772	upreg_Dbip1_4h	MF
GO:0016620	oxidoreductase activity, acting on the a...	27	6	1.61	0.03855	upreg_Dbip1_4h	MF
GO:0043169	cation binding	1484	91	88.56	0.03964	upreg_Dbip1_4h	MF
GO:0022857	transmembrane transporter activity	596	55	35.57	0.04268	upreg_Dbip1_4h	MF
GO:0008198	ferrous iron binding	6	2	0.36	0.04542	upreg_Dbip1_4h	MF
GO:0004499	N,N-dimethylaniline monooxygenase activi...	14	3	0.84	0.04701	upreg_Dbip1_4h	MF
GO:0000166	nucleotide binding	1397	79	71.57	0.00049	upreg_Dmst12_0h	MF
GO:0004783	sulfite reductase (NADPH) activity	2	2	0.1	0.00262	upreg_Dmst12_0h	MF
GO:0008379	thioredoxin peroxidase activity	2	2	0.1	0.00262	upreg_Dmst12_0h	MF
GO:0003755	peptidyl-prolyl cis-trans isomerase acti...	21	5	1.08	0.00355	upreg_Dmst12_0h	MF
GO:0016491	oxidoreductase activity	982	75	50.31	0.0046	upreg_Dmst12_0h	MF
GO:0051787	misfolded protein binding	3	2	0.15	0.00759	upreg_Dmst12_0h	MF
GO:0051879	Hsp90 protein binding	4	2	0.2	0.01467	upreg_Dmst12_0h	MF
GO:0003839	gamma-glutamylcyclotransferase activity	4	2	0.2	0.01467	upreg_Dmst12_0h	MF
GO:0051213	dioxygenase activity	71	7	3.64	0.02067	upreg_Dmst12_0h	MF
GO:0016151	nickel cation binding	5	2	0.26	0.02362	upreg_Dmst12_0h	MF
GO:0008080	N-acetyltransferase activity	49	6	2.51	0.03143	upreg_Dmst12_0h	MF
GO:0050661	NADP binding	38	5	1.95	0.04303	upreg_Dmst12_0h	MF
GO:0004784	superoxide dismutase activity	7	2	0.36	0.04633	upreg_Dmst12_0h	MF
GO:0004499	N,N-dimethylaniline monooxygenase activi...	14	6	1.25	0.00079	upreg_Dmst12_24h	MF
GO:0022857	transmembrane transporter activity	596	72	53.13	0.00087	upreg_Dmst12_24h	MF
GO:0005375	copper ion transmembrane transporter act...	7	4	0.62	0.00176	upreg_Dmst12_24h	MF
GO:0004497	monooxygenase activity	184	33	16.4	0.00729	upreg_Dmst12_24h	MF
GO:0003865	3-oxo-5-alpha-steroid 4-dehydrogenase ac...	2	2	0.18	0.00794	upreg_Dmst12_24h	MF
GO:0005506	iron ion binding	202	30	18.01	0.00974	upreg_Dmst12_24h	MF
GO:0004190	aspartic-type endopeptidase activity	28	7	2.5	0.00976	upreg_Dmst12_24h	MF
GO:0035673	oligopeptide transmembrane transporter a...	12	4	1.07	0.01734	upreg_Dmst12_24h	MF
GO:0016805	dipeptidase activity	6	3	0.53	0.02236	upreg_Dmst12_24h	MF
GO:0019120	hydrolase activity, acting on acid halid...	3	2	0.27	0.0224	upreg_Dmst12_24h	MF
GO:0070773	protein-N-terminal glutamine amidohydrol...	3	2	0.27	0.0224	upreg_Dmst12_24h	MF
GO:0008418	protein-N-terminal asparagine amidohydro...	3	2	0.27	0.0224	upreg_Dmst12_24h	MF
GO:0050614	delta24-sterol reductase activity	3	2	0.27	0.0224	upreg_Dmst12_24h	MF
GO:0050660	flavin adenine dinucleotide binding	166	26	14.8	0.02402	upreg_Dmst12_24h	MF
GO:0008061	chitin binding	34	7	3.03	0.02783	upreg_Dmst12_24h	MF
GO:0016787	hydrolase activity	1442	116	128.54	0.03673	upreg_Dmst12_24h	MF
GO:0000981	DNA-binding transcription factor activit...	189	25	16.85	0.03877	upreg_Dmst12_24h	MF
GO:0071949	FAD binding	77	12	6.86	0.03892	upreg_Dmst12_24h	MF
GO:0003854	3-beta-hydroxy-delta5-steroid dehydrogen...	4	2	0.36	0.04216	upreg_Dmst12_24h	MF
GO:0003878	ATP citrate synthase activity	4	3	0.38	0.0032	upreg_Dmst12_4h	MF
GO:0030600	feruloyl esterase activity	13	5	1.23	0.0051	upreg_Dmst12_4h	MF
GO:0031177	phosphopantetheine binding	36	9	3.42	0.0054	upreg_Dmst12_4h	MF
GO:0008559	ABC-type xenobiotic transporter activity	2	2	0.19	0.009	upreg_Dmst12_4h	MF
GO:0004043	L-aminoadipate-semialdehyde dehydrogenas...	2	2	0.19	0.009	upreg_Dmst12_4h	MF
GO:0003865	3-oxo-5-alpha-steroid 4-dehydrogenase ac...	2	2	0.19	0.009	upreg_Dmst12_4h	MF
GO:0016712	oxidoreductase activity, acting on paire...	15	5	1.42	0.0102	upreg_Dmst12_4h	MF
GO:0102483	scopolin beta-glucosidase activity	10	4	0.95	0.0106	upreg_Dmst12_4h	MF
GO:0004181	metallocarboxypeptidase activity	11	4	1.04	0.0155	upreg_Dmst12_4h	MF
GO:0046872	metal ion binding	1395	136	132.5	0.0185	upreg_Dmst12_4h	MF
GO:0035673	oligopeptide transmembrane transporter a...	12	4	1.14	0.0215	upreg_Dmst12_4h	MF
GO:0000293	ferric-chelate reductase activity	12	4	1.14	0.0215	upreg_Dmst12_4h	MF
GO:0016788	hydrolase activity, acting on ester bond...	325	31	30.87	0.0233	upreg_Dmst12_4h	MF
GO:0008422	beta-glucosidase activity	14	4	1.33	0.0373	upreg_Dmst12_4h	MF
GO:0003824	catalytic activity	3791	385	360.09	0.043	upreg_Dmst12_4h	MF
GO:0008236	serine-type peptidase activity	68	13	6.46	0.0465	upreg_Dmst12_4h	MF
GO:0004568	chitinase activity	15	4	1.42	0.0472	upreg_Dmst12_4h	MF
GO:0008553	P-type proton-exporting transporter acti...	4	2	0.38	0.0475	upreg_Dmst12_4h	MF
GO:0004075	biotin carboxylase activity	4	2	0.38	0.0475	upreg_Dmst12_4h	MF
GO:0030246	carbohydrate binding	70	10	6.65	0.0497	upreg_Dmst12_4h	MF
