GO.ID	Term	Annotated	Significant	Expected	topgoFisher	filename	GO_cat
GO:0006048	UDP-N-acetylglucosamine biosynthetic pro...	6	2	0.11	0.00484	downreg_Dbip1_4h	BP
GO:0006414	translational elongation	30	5	0.55	0.0054	downreg_Dbip1_4h	BP
GO:0042823	pyridoxal phosphate biosynthetic process	7	2	0.13	0.00669	downreg_Dbip1_4h	BP
GO:0006098	pentose-phosphate shunt	9	2	0.17	0.01119	downreg_Dbip1_4h	BP
GO:0051258	protein polymerization	27	3	0.5	0.01304	downreg_Dbip1_4h	BP
GO:0006190	inosine salvage	1	1	0.02	0.01846	downreg_Dbip1_4h	BP
GO:0030448	hyphal growth	1	1	0.02	0.01846	downreg_Dbip1_4h	BP
GO:0071590	nicotinamide riboside biosynthetic proce...	1	1	0.02	0.01846	downreg_Dbip1_4h	BP
GO:0071592	nicotinic acid riboside biosynthetic pro...	1	1	0.02	0.01846	downreg_Dbip1_4h	BP
GO:0097054	L-glutamate biosynthetic process	1	1	0.02	0.01846	downreg_Dbip1_4h	BP
GO:0019478	D-amino acid catabolic process	1	1	0.02	0.01846	downreg_Dbip1_4h	BP
GO:0006425	glutaminyl-tRNA aminoacylation	1	1	0.02	0.01846	downreg_Dbip1_4h	BP
GO:0106259	cell-to-cell migration in host	1	1	0.02	0.01846	downreg_Dbip1_4h	BP
GO:0006438	valyl-tRNA aminoacylation	1	1	0.02	0.01846	downreg_Dbip1_4h	BP
GO:1903087	mitotic spindle pole body duplication	1	1	0.02	0.01846	downreg_Dbip1_4h	BP
GO:0098863	nuclear migration by microtubule mediate...	2	1	0.04	0.03658	downreg_Dbip1_4h	BP
GO:0000379	tRNA-type intron splice site recognition...	2	1	0.04	0.03658	downreg_Dbip1_4h	BP
GO:0033609	oxalate metabolic process	2	1	0.04	0.03658	downreg_Dbip1_4h	BP
GO:0007205	protein kinase C-activating G protein-co...	2	1	0.04	0.03658	downreg_Dbip1_4h	BP
GO:0010142	farnesyl diphosphate biosynthetic proces...	2	1	0.04	0.03658	downreg_Dbip1_4h	BP
GO:1904263	positive regulation of TORC1 signaling	2	1	0.04	0.03658	downreg_Dbip1_4h	BP
GO:0032049	cardiolipin biosynthetic process	2	1	0.04	0.03658	downreg_Dbip1_4h	BP
GO:0031388	organic acid phosphorylation	2	1	0.04	0.03658	downreg_Dbip1_4h	BP
GO:0006424	glutamyl-tRNA aminoacylation	2	1	0.04	0.03658	downreg_Dbip1_4h	BP
GO:0006428	isoleucyl-tRNA aminoacylation	2	1	0.04	0.03658	downreg_Dbip1_4h	BP
GO:0048312	intracellular distribution of mitochondr...	2	1	0.04	0.03658	downreg_Dbip1_4h	BP
GO:0006431	methionyl-tRNA aminoacylation	2	1	0.04	0.03658	downreg_Dbip1_4h	BP
GO:0071840	cellular component organization or bioge...	833	15	15.38	0.03694	downreg_Dbip1_4h	BP
GO:0000160	phosphorelay signal transduction system	17	2	0.31	0.0384	downreg_Dbip1_4h	BP
GO:0008152	metabolic process	3931	79	72.56	0.04438	downreg_Dbip1_4h	BP
GO:0006364	rRNA processing	138	61	8.9	5.7e-14	downreg_Dmst12_0h	BP
GO:0000463	maturation of LSU-rRNA from tricistronic...	19	12	1.23	1.5e-10	downreg_Dmst12_0h	BP
GO:0000447	endonucleolytic cleavage in ITS1 to sepa...	16	11	1.03	2.4e-10	downreg_Dmst12_0h	BP
